furnace_category,furnace,grade,item,casting_sr_no,pigging,alloys,lcrcaaddition_2,boring,punching,furnace_on_time,furnace_off_time,tap_time_cleaned,zone,aa,pattern_no,mo,ca,defect
E,Bay-1,SG01,G145 RBH,278,0.2,0.09,0,0,25,11:00 AM,12:50 PM,110,B,99.96,PO0416,<0.00050,0.0016,1
A&B,Bay-3,SG01,G145 FBH,286,0.1,0.177,0,210,47,10:00 AM,12:00 PM,120,C,100,PO0415 ,<0.00050,0.0011,1
A&B,Bay-3,SG01,G145 FBH,287,0.1,0.177,0,0,47,8:10 AM,10:15 AM,125,C,100.01,PO0415 ,<0.00050,0.001,1
C,Bay-3,SSDI,Bed Plate,255,0.5,0.364,0,830,93,6:10 AM,9:15 AM,185,C,100.02,PO0386,<0.00050,>0.0050,1
E,Bay-1,SG01,Bace Frame Cross Gear,545,0.3,0.08,0,0,22,9:30 PM,10:45 PM,75,A,99.96,PO0398,<0.00050,0.0011,1
C,Bay-3,SG01,G145 MF,220,0.1,0.69,0,0,162,10:30 PM,5:30 AM,330,A,100,PO0381,<0.00050,<0.00020,1
E,Bay-1,SGCu,1.2 PLC,2601,0.1,0.076,0,510,21,4:30 PM,6:20 PM,110,D,100.03,PO0197,<0.00050,0.0013,1
C,Bay-3,SG01,VMF,1403C,0.1,0.305,0,530,78,1:00 AM,3:35 AM,155,A,100,PO0221C,<0.00050,0.0015,1
E,Bay-1,CI,853 lower Housing ,10,0.4,0.015,0,0,0,3:20 AM,5:35 AM,135,A,99.98,PO0273,0.005,0.0034,1
C,Bay-3,SG01,MK3 Base Frame,92,0.1,0.589,0,0,141,11:00 AM,1:30 PM,150,B,100.1,PO0396,<0.00050,0.0019,1
E,Bay-1,SG01,Axle Pin,443B,0.1,0.078,0,0,21,6:30 AM,8:20 AM,110,B,100.04,PO0044,<0.00050,0.00079,1
E,Bay-1,CI,3536 Hsg,58,0.3,0.014,0,0,0,12:40 AM,3:00 AM,140,A,99.95,PO0475,0.004,0.0033,1
E,Bay-1,CI,Housing SDNL 650 Bottom,110,0.4,0.015,0,0,0,2:50 PM,5:50 PM,180,B,100.03,PO0427,0.004,0.0028,1
E,Bay-1,SG01,3536 TA,53,0.1,0.09,0,0,25,8:35 PM,10:20 PM,105,A,99.98,PO0474,<0.00050,0.00096,1
C,Bay-3,SSDI,Bed Plate,253,1,0.337,0,0,93,6:00 AM,9:03 AM,180,B,99.96,PO0386,<0.00050,>0.0050,1
A&B,Bay-3,SG01,3740 TA,84,0.1,0.127,0,0,37,12:20 AM,2:15 AM,115,A,100.05,PO0441,<0.00050,0.0023,1
A&B,Bay-3,SG01,3740 TA,83,0.1,0.125,0,0,36,5:10 PM,6:45 PM,95,D,100.03,PO0441,<0.00050,0.0042,1
E,Bay-1,CI,Housing SDNL 650 Bottom,112,0.1,0.015,0,0,0,12:45 AM,3:05 AM,140,A,99.96,PO0427,0.003,0.0034,1
E,Bay-1,SG01,3536 TA,65,0.05,0.09,0,0,25,11:15 AM,1:10 PM,115,B,100.04,PO0474,<0.00050,0.0011,1
E,Bay-1,SG02,Clamp cly 450,271,0.1,0.113,0,0,31,6:30 AM,8:50 AM,140,B,100.04,PO0333,<0.00050,0.00096,1
E,Bay-1,SG02,Clamp cly 450,272,0.1,0.114,0,0,30,10:30 PM,1:00 AM,150,A,100,PO0333,<0.00050,0.0011,1
C,Bay-3,SSDI,Bed Plate,258,0.1,0.358,0,540,93,6:00 PM,8:45 PM,165,D,99.98,PO0386,<0.00050,>0.0050,1
D,Bay-1,SG01,Axle Pin,444B,0.1,0.068,0,0,18,10:25 PM,11:30 PM,65,A,100.04,PO0044,<0.00050,0.00078,1
D,Bay-1,SGCu,1.2 PLC,2602,0.3,0.085,0,730,23,6:45 PM,12:05 AM,160,A,100.04,PO0197,<0.00050,0.0008,1
A&B,Bay-3,SGCu,1052 PLC ,25A,0.4,0.196,0,0,57,5:00 AM,7:00 AM,120,B,99.98,PO0400,<0.00050,>0.0050,1
A&B,Bay-3,SG01,3740 TA,85,0.1,0.126,0,0,36,5:20 AM,6:40 AM,80,B,99.95,PO0441,<0.00050,0.0023,1
E,Bay-1,SG02,Platen Stat 450,261,0.1,0.084,0,0,21,10:20 PM,12:20 AM,120,A,100.03,PO0335,<0.00050,0.0012,1
E,Bay-1,SG02,Platen Stat 450,263,0.1,0.078,0,530,23,2:50 AM,4:40 AM,110,A,100.03,PO0335,<0.00050,0.0028,1
A&B,Bay-3,SG01,HUB,2210B,0.4,0.21,0,0,62,12:20 AM,2:30 AM,130,A,100.01,PO0222B,<0.00050,0.0026,1
E,Bay-1,SGCu,1.2 PLC,2621,0.1,0.08,0,0,23,9:35 AM,11:45 AM,130,C,100.01,PO0197,<0.00050,0.0028,1
E,Bay-1,SGCu,1.2 PLC,2622,0.1,0.073,0,0,21,2:10 PM,5:30 PM,200,B,100.01,PO0197,<0.00050,>0.0050,1
E,Bay-1,SGCu,1.2 PLC,2611,0.1,0.092,0,510,39,2:20 PM,5:15 PM,175,B,99.99,PO0197,<0.00050,0.00079,1
E,Bay-1,SG01,3536 TA,68,0.1,0.089,0,0,25,9:40 AM,11:50 AM,130,C,99.97,PO0474,<0.00050,0.0016,1
C,Bay-3,SG01,MK3 Base Frame,94,1.5,0.618,0,0,150,6:30 PM,10:10 PM,220,D,100.01,PO0396,<0.00050,0.0022,1
A&B,Bay-3,SG01,HUB,2016B,0.1,0.212,0,330,60,11:30 AM,1:55 PM,145,B,99.97,PO0222B,<0.00050,0.0042,1
C,Bay-3,SG01,MK3 Hub,174,0.1,0.462,0,0,108,11:40 PM,3:10 AM,210,A,100.02,PO0391,<0.00050,0.0018,1
A&B,Bay-3,SGCu,UF 1300 AUTOSAND,1B,0.6,0.157,0,0,45,4:20 AM,6:30 AM,130,A,99.97,PO0482,6.00E-04,0.0017,1
A&B,Bay-3,SGCu,3K SGRE stage 1 PLC,91,0.3,0.122,0,0,36,1:00 AM,2:30 AM,90,A,100,PO0387,<0.00050,0.0035,1
E,Bay-1,SG01,3536 TA,69,0.05,0.083,0,0,23,9:50 PM,11:50 PM,120,A,100,PO0474,<0.00050,0.0038,1
E,Bay-1,SG02,Clamp cly 450,274,0.1,0.11,0,0,31,9:25 AM,11:40 AM,135,C,100.01,PO0333,<0.00050,0.0024,1
E,Bay-1,CI,Housing 600 Top,7,0.6,0.014,0,0,0,12:25 AM,2:00 AM,95,A,99.99,PO0477,0.006,0.0044,1
E,Bay-1,SG01,Axle Pin,447B,0.1,0.064,0,0,18,12:55 AM,2:40 AM,105,A,100.02,PO0044,0.003,0.0025,1
C,Bay-3,SG01,VMF,1417C,0.1,0.303,0,0,78,9:30 AM,12:00 PM,150,C,99.96,PO0221C,<0.00050,0.0031,1
E,Bay-1,SG01,3536 TA,72,0.1,0.089,0,0,25,4:55 AM,6:50 AM,115,B,99.95,PO0474,<0.00050,0.0026,1
E,Bay-1,CI,3536 Hsg,64,0.2,0.015,0,0,0,12:05 AM,2:00 AM,115,A,99.99,PO0475,0.006,>0.0050,1
E,Bay-1,CI,Housing 600 Bottom,7,0.2,0.013,0,0,0,12:35 PM,3:05 PM,150,B,100.01,PO0478,0.005,>0.0050,1
E,Bay-1,SG01,MBH,2503B,0.4,0.107,0,0,29,7:20 PM,10:30 PM,190,A,100.05,PO0223B,0.002,0.001,1
C,Bay-3,SG01,MK3 Base Frame,95,0.1,0.587,0,0,138,10:00 PM,2:40 AM,280,A,100.02,PO0396,<0.00050,0.002,1
E,Bay-1,CI,Housing 600 Bottom,8,0.35,0.014,0,0,0,3:10 AM,5:10 AM,120,A,99.99,PO0478,0.0061,>0.0050,1
A&B,Bay-3,SG01,3740 TA,91,0.1,0.129,0,0,37,3:20 PM,5:10 PM,110,B,100.01,PO0441,<0.00050,0.0025,1
C,Bay-3,SG01,VMF,1429C,0.1,0.31,0,530,78,3:15 AM,6:10 AM,175,A,100.01,PO0221C,<0.00050,0.0018,1
E,Bay-1,CI,3536 Hsg,65,0.1,0.015,0,0,0,7:30 AM,9:45 AM,135,C,99.99,PO0475,0.006,>0.0050,1
E,Bay-1,CI,Housing 600 Top,8,0.5,0.011,0,0,0,4:30 AM,6:30 AM,120,B,99.98,PO0477,0.005,0.004,1
A&B,Bay-3,SGCu,3K SGRE stage 1 PLC,94,0.2,0.125,0,0,36,5:00 AM,7:00 AM,120,B,99.96,PO0387,<0.00050,0.0039,1
E,Bay-1,SG01,Axle Pin,448B,0.1,0.064,0,0,18,7:45 PM,10:50 PM,185,A,100.04,PO0044,<0.00050,0.0015,1
E,Bay-1,SGCu,1.2 PLC,2648,0.1,0.074,0,0,21,2:00 AM,3:40 AM,100,A,100.02,PO0197,<0.00050,>0.0050,1
E,Bay-1,CI,3536 Hsg,68,0.2,0.014,0,0,0,6:35 PM,8:55 PM,140,D,100.03,PO0475,0.004,>0.0050,1
E,Bay-1,CI,3536 Hsg,66,0.1,0.013,0,0,0,9:05 AM,11:30 AM,145,C,100.04,PO0475,0.004,>0.0050,1
E,Bay-1,SG01,3536 TA,79,0.1,0.087,0,0,25,10:00 PM,1:20 AM,200,A,100.01,PO0474,<0.00050,0.0043,1
